,P_Excess_Zeros,Method,Explained Variance
0,0.0,NNCP-ALS,0.9999923706054688
1,0.2,NNCP-ALS,0.9457021355628967
2,0.4,NNCP-ALS,0.8147964477539062
3,0.6,NNCP-ALS,0.6056160926818848
4,0.8,NNCP-ALS,0.3382049798965454
5,0.0,NNCP-ALS,0.9999894499778748
6,0.2,NNCP-ALS,0.9429107904434204
7,0.4,NNCP-ALS,0.8073192238807678
8,0.6,NNCP-ALS,0.6087853908538818
9,0.8,NNCP-ALS,0.3365546464920044
10,0.0,TG-BTF,0.9655978083610535
11,0.2,TG-BTF,0.935926079750061
12,0.4,TG-BTF,0.8207691311836243
13,0.6,TG-BTF,0.6267685294151306
14,0.8,TG-BTF,0.3555203676223755
15,0.0,TG-BTF,0.9713669419288635
16,0.2,TG-BTF,0.9282374978065491
17,0.4,TG-BTF,0.8188509941101074
18,0.6,TG-BTF,0.6262373924255371
19,0.8,TG-BTF,0.35976797342300415
20,0.0,GP-BTF,0.9622352123260498
21,0.2,GP-BTF,0.95005202293396
22,0.4,GP-BTF,0.8276461362838745
23,0.6,GP-BTF,0.6266900300979614
24,0.8,GP-BTF,0.3626311421394348
25,0.0,GP-BTF,0.9684531092643738
26,0.2,GP-BTF,0.9366022348403931
27,0.4,GP-BTF,0.8301489949226379
28,0.6,GP-BTF,0.6412558555603027
29,0.8,GP-BTF,0.3643037676811218
30,0.0,ZIPTF,0.9613613486289978
31,0.2,ZIPTF,0.9712287783622742
32,0.4,ZIPTF,0.9658271074295044
33,0.6,ZIPTF,0.9683505296707153
34,0.8,ZIPTF,0.9739847183227539
35,0.0,ZIPTF,0.9682496190071106
36,0.2,ZIPTF,0.9644621014595032
37,0.4,ZIPTF,0.9708113670349121
38,0.6,ZIPTF,0.9623108506202698
39,0.8,ZIPTF,0.969477653503418
